UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/12/2023","100-Concert Band","1","Bushland Middle School","188904","Bushland","Gregg Diamond","Alec Bennington  Emily Henson  Brandon Borup","","CC","Non-Varsity","","187144","Fighting Falcon March","Todd Stalter","Danza de Espana (19602) ","Chambers","Colliding Visions (17502) ","Balmages","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","D"
"04/12/2023","100-Concert Band","1","Bushland Middle School","188904","Bushland","Gregg Diamond","Alec Bennington  Emily Henson  Brandon Borup","","CC","Varsity","","187143","March Zuma","John O'Reilly","The Rowan Tree (17517) ","Standridge","Medieval Legend (650) ","Story","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","C"
"03/07/2023","100-Concert Band","1","Canadian HS","106901","Canadian","John Zalman","Neil Reed  Abby Reed  Neyma Garcia","","AAA","Varsity","","182990","British Eighth","Zo Elliot","Deir in De (186) ","Anon. or Trad./Barker","Dona Nobis Pacem (701) ","Sudduth","Michael Childs","Harold Bufe","Carroll Rhodes","2","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","A"
"04/12/2023","100-Concert Band","1","Canadian Middle School","106-901","Canadian","Neil Reed","John Zalman  Abby Reed","","C","Varsity","","189649","Newcastle March","Vinson","Expectations (19603) ","Clark","Armory (19597) ","Standridge","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","C"
"04/05/2023","100-Concert Band","1","Canyon High School","191-901","Canyon","Eric Rath","Luis Hernandez  Eric Perez & Ann Lough","","AAAA","Varsity","","184008","The National Game","Sousa","A Hymn for The Lost And The Living (733) ","Ewazen","Lincolnshire Posy (502) (play at least five mvts)","Grainger","Robert Rubio","Nicole Baxter","Jon Seale","1","1","1","1","Rodney Gurley","Mike Glaze","James Nance","1","1","1","1","A"
"04/05/2023","100-Concert Band","1","Canyon HS","191-901","Canyon","Luis F. Hernandez","Eric Rath  Eric Perez  Ann Lough","","AAAA","Non-Varsity","","187425","March Salutation","Robert Seitz/Andy Clark","Kindred Spirits","Brian Balmages","Spirit of Cashel","Jack Wilds","Robert Rubio","Nicole Baxter","Jon Seale","1","1","1","1","Rodney Gurley","Mike Glaze","James Nance","1","1","1","1","C"
"04/12/2023","100-Concert Band","1","Canyon JH","1736409","Canyon","Ann Lough","Eric Perez  Eric Rath  Luis Hernandez","","CC","Non-Varsity","","189085","Kenya Contrasts","Himes","Expectations","Clark","Japanese War March","Rath","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","D"
"04/12/2023","100-Concert Band","1","Canyon Jr. High","1572515","Canyon","Eric Perez","Ann Lough  Eric Rath  Luis Hernandez","","CC","Varsity","","189070","Lone Eagle (24129) ","Sheldon","Renaissance Reimagined (20753) ","Balmages","Vivo! Galop","Kiefer","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","C"
"04/05/2023","100-Concert Band","1","Caprock High School","188-901-002","Amarillo","Alisha Caldwell","Neil Barbaro","","AAAAA","Non-Varsity","","188831","Pink Lemonade","Contorno","Into the Arctic (20710) ","Balmages","La Madre de los Gatos (17509) ","Beck","Robert Rubio","Nicole Baxter","Jon Seale","3","3","2","3","Rodney Gurley","Mike Glaze","James Nance","3","1","3","3",""
"04/05/2023","100-Concert Band","1","Caprock High School","188-901-002","Amarillo","Alisha Caldwell","Neil Barbaro  Andres Cardenas Casillas  Paticus Henderson","","AAAAA","Varsity","","187835","Sol y Sombra","Gates","Fantasy on a Japanese Folk Song (15853) ","Hazo","Summer Dances (704) ","Balmages","Robert Rubio","Nicole Baxter","Jon Seale","1","1","1","1","Rodney Gurley","Mike Glaze","James Nance","1","1","1","1","A"
