UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/07/2023","100-Concert Band","1","Pampa High School","090904","Pampa","Andrew Sedlacek","Katie Sedlacek  Daniel Stout  Heather Shackelford","","AAAA","Varsity","","182901","A Longford Legend (409) (play all)","Sheldon","Viva! (20787) ","Wilds","National Emblem","E.E. Bagley/arr. Matt Conaway","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","A"
"04/12/2023","100-Concert Band","1","Pampa JH","090904","Pampa","Andrew Sedlacek","Katie Sedlacek  Daniel Stout  Heather Shackelford","","CC","Sub Non-Varsity","","189781","Vulcans Forge (24127) ","Roszell","Wings to the Mind ","Balmages","Synergy March","William Owens","Greg Montgomery","Mike Glaze","Jason Jones","1","2","3","2","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","2","2","2",""
"04/12/2023","100-Concert Band","1","Pampa Junior High","090904","Pampa","Daniel Stout","Heather Shackelford  Andrew Sedlacek  Katie Sedlacek","","CC","Non-Varsity","","189782","A Summers Knight (24122) ","Terry","Qin Shis Stone Army (19600) ","Arcari","The Thunderer","Sousa/Shaffer","Greg Montgomery","Mike Glaze","Jason Jones","2","2","2","2","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","2"
"04/12/2023","100-Concert Band","1","Pampa Junior High","090904","Pampa","Daniel Stout","Heather Shackelford  Andrew Sedlacek  Katie Sedlacek","N/A","CC","Varsity","","189780","Broken Bow (17500) ","Strommen","Crystalline (20594) ","Clark","Lexington March","Edmondson","Greg Montgomery","Mike Glaze","Jason Jones","2","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","C"
"03/07/2023","100-Concert Band","1","Panhandle High School","033902001","Panhandle","John Bratton","Dakota Lancaster","","AA","Varsity","","182807","The Great Escape","Bernstein/Vinson","Hypnotic Fireflies (18466) ","Balmages","Japanese Pictures (18467) ","Mixon","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","A"
"04/05/2023","100-Concert Band","1","Perryton High School","179901","Perryton","Tony Gonzalez","Austin Zimmerman","","AAAA","Varsity","","189069","Tripwire ","Hall","Blue and Green Music (18199) ","Hazo","Rough-Riders","King/Swearingen","Robert Rubio","Nicole Baxter","Jon Seale","2","1","1","1","Rodney Gurley","Mike Glaze","James Nance","2","3","2","2","1"
"04/12/2023","100-Concert Band","1","Perryton Junior High","179901","Perryton","Austin Zimmerman","Tony Gonzalez","","CC","Varsity","","189990","Moscow 1941","Balmages","Shadow of the Longship","Rath","Infinity","Curnow","Greg Montgomery","Mike Glaze","Jason Jones","1","3","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","2","1","2","2"
"04/05/2023","100-Concert Band","1","Randall High School","191901","Amarillo","Jesse Switzer","Ginger Denney  Andres Prieto  Wendy Denning","","AAAA","Non-Varsity","A","187269","Valley Forge","Karl L. King Arr. James Swearingen","Brave Spirit","Randall D. Standridge","Lightning Field","John Mackey","Robert Rubio","Nicole Baxter","Jon Seale","1","1","1","1","Rodney Gurley","Mike Glaze","James Nance","1","1","1","1","C"
"04/05/2023","100-Concert Band","1","Randall High School","481281006521","Amarillo","Ginger Denney","Jesse Switzer  Andres Prieto  Wendy Denning","","AAAA","Varsity","","187226","Commando March","Barber","Red Rock Mountain","Galante","Vesuvius","Ticheli","Robert Rubio","Nicole Baxter","Jon Seale","1","1","1","1","Rodney Gurley","Mike Glaze","James Nance","1","1","1","1","A"
"04/12/2023","100-Concert Band","1","Randall Junior High School","1910901045","Amarillo","Wendy Denning","Andres Prieto  Ginger Denney  Jesse Switzer","","CC","Non-Varsity","","189975","Regimental Honor","Moss","Egyptique (19576) ","Owens","Zig Zag (22324) ","OLoughlin","Greg Montgomery","Mike Glaze","Jason Jones","2","2","1","2","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","2"
"04/12/2023","100-Concert Band","1","Randall Junior High School ","1910901045","Amarillo","Andres Prieto","Wendy Denning  Ginger Denney  Jesse Switzer","","CC","Varsity","","189962","Marche Diabolique","Brian Balmages (ASCAP)","Winter on Emerald Bay","Alan Lee Silva","Imaginarium","Randall D. Standridge (ASCAP)","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","C"
"03/07/2023","100-Concert Band","1","River Road High School","188902","Amarillo","Dustin Olson","Will Scott","","AAA","Varsity","","179224","March Phantasma","Standridge","Balfour Castle (17498) ","Bobrowitz","Shadow of the Longship (20754) ","Rath","Michael Childs","Harold Bufe","Carroll Rhodes","3","2","1","2","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","1"
"04/12/2023","100-Concert Band","1","River Road Middle School","188902","Amarillo","William Scott","Dustin Olson","","C","Varsity","","188965","Stratford March","Higgins","Qin Shis Stone Army (19600) ","Arcari","Dance Celebration (647) ","Smith","Greg Montgomery","Mike Glaze","Jason Jones","3","2","2","2","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","1","1","1","2"
"03/07/2023","100-Concert Band","1","Sanford-Fritch High School","117903","Fritch","Anthony Lucas","Jamie Lynn Cook","","AA","Varsity","","180863","Monterey March","Pierre LaPlante","Corps of Discovery (17481) ","Owens","Moscow  1941 (15892) ","Balmages","Michael Childs","Harold Bufe","Carroll Rhodes","1","2","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","A"
"03/07/2023","100-Concert Band","1","Shamrock HS","242902","Shamrock","Jaden Brisco","","","AA","Varsity","","183492","Tanchozuru (20595) ","Standridge","Dancing Kites (19598) ","Bernotas","The Washington Post","John Philip Sousa/Michael Story","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","A"
"03/07/2023","100-Concert Band","1","Spearman High School","098-904","Spearman","Paul Zybak","Jacob Sexton  David McEntyre","","AAA","Varsity","","183376","Excelsior! (Concert March)","William Owens","As Twilight Falls","Robert Sheldon","Contempo","Michael Story","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","B"
"04/12/2023","100-Concert Band","1","Spearman JH","098904","Spearman","Paul Zybak","Jacob Sexton  David McEntyre ","","C","Non-Varsity","","190007","Grand March: The Australian Land","Ralph Hultgren ","Atlantis","Anne McGinty","Ghost Ship","Michael Story","Greg Montgomery","Mike Glaze","Jason Jones","2","1","3","2","Sam Labordus","Mike Lunney","Suzanne Rhynes","3","3","2","3",""
"04/12/2023","100-Concert Band","1","Spearman Junior High","098-904","Spearman","Jacob Sexton","Paul Zybak  David McEntyre","","C","Varsity","","188168","Captain Dane","William Owens","Sakura","Michael Story","Pirates' Cove Adventure","Greg Fhiaras","Greg Montgomery","Mike Glaze","Jason Jones","1","2","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","1","1","1","C"
"03/07/2023","100-Concert Band","1","Stratford High School","211902","Stratford","Bryce Victory","Dakota Jackson","","AA","Varsity","","182848","Liberty March","John Edmonson","Maesong (15819) ","Owens","Armory (19597) ","Standridge","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","A"
"04/12/2023","100-Concert Band","1","Stratford Jr. High School","211902","Stratford ","Dakota jackson","Bryce Victory","","C","Varsity","","189659","Infinity","James Curnow","Dance Celebration (647) ","Smith","Dorian Chant (20589) ","Calhoun","Greg Montgomery","Mike Glaze","Jason Jones","1","2","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","C"
"03/07/2023","100-Concert Band","1","Sunray Collegiate High School","171902","Sunray","Katherine Nusz","Max Jackson","","AA","Varsity","","180718","Darklands March","Standridge","Colliding Visions (17502) ","Balmages","Fortis (17484) ","Gazlay","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","A"
"04/05/2023","100-Concert Band","1","Tascosa High School","188901005","Amarillo","David Spence","Justin Nuckols  Chase Cunningham","","AAAAA","Non-Varsity","","186262","Pine Island March","Steve Hodges","Tanchozuru (20595) ","Randall D. Standridge","Abracadabra (15823) ","Frank Ticheli","Robert Rubio","Nicole Baxter","Jon Seale","2","3","1","2","Rodney Gurley","Mike Glaze","James Nance","1","1","2","1","2"
"04/05/2023","100-Concert Band","1","Tascosa HS","188901005","Amarillo","Justin Nuckols","David Spence  Charles Cunningham  James Dewey","","AAAAA","Varsity","","184355","The Belle of Chicago","Sousa","Rhosymedre (426) ","Vaughan Williams/Beeler","Jocuri Poporale Romanesti (Roumanian Folk Dances) (705) (play movments 1 and 6  plus at least one additional mvt)","Bartok/Yo Goto","Robert Rubio","Nicole Baxter","Jon Seale","1","1","1","1","Rodney Gurley","Mike Glaze","James Nance","2","2","2","2","1"
"04/12/2023","100-Concert Band","1","Travis Middle School","188901047","Amarillo","Isaac Gutierrez","Maritza Mendoza  Ismael Alfaro  Spencer Crawford  Natalie Samuels  Mason Vincent ","N/A","CCC","Varsity","","189306","Reliance (March)","Larry Clark ","Tanchozuru","Randall Standridge ","Japanese Pictures ","Kevin Mixon","Greg Montgomery","Mike Glaze","Jason Jones","2","2","2","2","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","1","2","2",""
"04/12/2023","100-Concert Band","1","Travis Middle School","188901047","Amarillo","Isaac Gutierrez","Maritza Mendoza  Ismael Alfaro  Spencer Crawford  Natalie Samuels  Mason Vincent ","N/A","CCC","Non-Varsity","","188710","Fallbrook March ","John O'Reilly ","Rust Belt ","William Owens ","Night Fury ","Carol Brittin Chambers ","Greg Montgomery","Mike Glaze","Jason Jones","2","2","2","2","Sam Labordus","Mike Lunney","Suzanne Rhynes","3","3","3","3",""
"03/07/2023","100-Concert Band","1","Tulia HS","219903","Tulia","Derek Vasquez","Caitlin Gallaher  Ashton Young","","AAA","Varsity","","178695","Peacemaker ","Karl King","Canticle (16228)","Wagner","Brave Spirit (19611)","Standridge","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","A"
"04/12/2023","100-Concert Band","1","Tulia Junior High","2307707","Tulia","Ashton Young","Derek Vasquez  Caitlin Gallaher ","","C","Non-Varsity","C","188162","Plaza De Toros","Story","Dance Celebration ","Smith","Stratford March","Higgins ","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","2","1","2","2"
"04/12/2023","100-Concert Band","1","Tulia Junior High","219903","Tulia","Caitlin Gallaher","Derek Vasquez  Ashton Young","","C","Varsity","","187286","Laredo March","Higgins","Great Beginnings (24119)","Kamuf","Zig Zag","O'Loughlin","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","C"
"03/07/2023","100-Concert Band","1","Vega High School","180902","Vega","Marci Criswell","MIchelle Richardson","","AA","Varsity","","181593","Moscow  1941 (15892) ","Balmages","In The Bleak Midwinter (34)","Holst/Bullock","Bandtopia","Putnam","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","1","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","A"
"03/07/2023","100-Concert Band","1","Wellington ISD","044-902","Wellington","Justin Mixon","Harley Warrick","","AA","Varsity","","183490","Wedgwood March","Owens","Gathering In The Glen (652)","Sweeney","Galliard (22331)","Watson/","Michael Childs","Harold Bufe","Carroll Rhodes","1","1","2","1","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","B"
"04/05/2023","100-Concert Band","1","West Plains High School","191901005","Amarillo","Brock Mellinger","Heath Nall  Anthony Gilreath  Blain Doggett","","AAAA","Non-Varsity","","186820","Inifinty March","Curnow","Phantom Ship","Del Borgo","Summit Fanfare","Owens","Robert Rubio","Nicole Baxter","Jon Seale","2","2","1","2","Rodney Gurley","Mike Glaze","James Nance","1","1","2","1","2"
"04/05/2023","100-Concert Band","1","West Plains High School","191 901 005","Amarillo","Heath Nall","Brock Mellinger  Anthony Gilreath  Blain Doggett","","AAAA","Varsity","","186767","The Black Horse Troop","Sousa","Second Suite in F","Holst/Matthews","Homage to Bharat","Balmages","Robert Rubio","Nicole Baxter","Jon Seale","1","1","1","1","Rodney Gurley","Mike Glaze","James Nance","1","1","1","1","A"
"04/12/2023","100-Concert Band","1","West Plains Junior High School","191901043","Amarillo","Blain Doggett","","","CC","Non-Varsity","","186496","The Lone Eagle March","John Edmondson","Crusade (16224)","Vince Gassi","Japanese Pictures (18467)","Kevin Mixon","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","2","1","1","1","D"
"04/12/2023","100-Concert Band","1","West Plains Junior High School","191901043","Amarillo","Anthony Gilreath","","","CC","Varsity","","186447","Gallito","Santiago Lope","Heaven's Light (15874)","Steven Reineke (ASCAP)","Arabian Dances (17465)","Brian Balmages (ASCAP)","Greg Montgomery","Mike Glaze","Jason Jones","1","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","C"
"03/07/2023","100-Concert Band","1","West Texas High School","117904","Stinnett","Will Brewer","Sarah Brewer","","AA","Varsity","","182724","His Honor","Fillmore/Balent","Pevensey Castle (60) ","Sheldon","A Sailors Odyssey (15866) ","Bobrowitz","Michael Childs","Harold Bufe","Carroll Rhodes","2","1","2","2","Rodney Bennett","Cliff Franklin","Jon Kraemer","1","1","1","1","1"
"04/12/2023","100-Concert Band","1","West Texas Middle School","117904","Stinnett","Sarah Beth Brewer","Will Brewer","","C","Varsity","","189799","Integrity March","Owens","Nottingham Castle (12) ","Daehn","Wildwind Overture (39) ","Kinyon","Greg Montgomery","Mike Glaze","Jason Jones","2","1","1","1","Sam Labordus","Mike Lunney","Suzanne Rhynes","1","1","1","1","C"
"03/07/2023","100-Concert Band","1","Wheeler High School","242903","Wheeler","Mel Evans","Matt Flores","","AA","Varsity","","178652","Rough-Riders","King/Swearingen","Expectations (19603) ","Clark","Rust Belt ","Owens","Michael Childs","Harold Bufe","Carroll Rhodes","2","2","1","2","Rodney Bennett","Cliff Franklin","Jon Kraemer","2","1","1","1","1"
"03/07/2023","100-Concert Band","1","White Deer","6124487756","White Deer","Julia Rogers","","","A","Varsity","","182835","Autumn Colors (17478) ","OReilly","Zig Zag (22324) ","OLoughlin","The International Concatenated Order of Hoo-Hoo March","Don Colquitt","Michael Childs","Harold Bufe","Carroll Rhodes","2","3","3","3","Rodney Bennett","Cliff Franklin","Jon Kraemer","2","1","2","2",""
"03/08/2023","921-Full Orchestra","1","Amarillo High School","188901001","Amarillo","Breanna L Parker","Robert HInds","","AAAAA","Varsity","","179743","Folk Tune and Fiddle Dance","Fletcher","Ancient Echos of Time (19635)","Wagner","Symphony 8 Mvt 1","Dvorak","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","1","1","A"
"03/09/2023","921-Full Orchestra","1","Bowie Middle School","188901042","Amarillo","Fabian Saldana","Andres Cardenas-Casillas","","CCC","Varsity","","183248","Telemann Sinfonia (5846) ","Telemann/Brown","Eagles Among Us (20853) ","Balmages","Sahara Crossing (10067) (percussion REQUIRED)","Meyer","Sally Pool","Catherine Olivier","Cristina Newton","1","1","2","1","Josh Allen","Dianne Campbell","Michael Newton","1","2","1","1","C"
"03/08/2023","921-Full Orchestra","1","Caprock High School","188901002","Amarillo","Danica Ahedo","Alisha Granados  Neil Barbaro  Christian Anderson","","AAAAA","Varsity","","183226","Yorkshire Ballad (5868) ","Barnes","Mantras (6426) ","Meyer","Die Meistersingers (6010) ","Wagner/Siennicki","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","1","1","A"
"03/08/2023","926-String Orchestra","1","Amarillo High School","188901001","Amarillo","Breanna L Parker","Joely Breshears","","AAAAA","Sub Non-Varsity","","179747","Medieval Kings","Soon Hee Newbold","Down by the Salley Gardens (21743) ","Traditional/Palmer","The Keeper Did A-Hunting Go (19334) (piano opt)","Anon. or Trad./Gruselle","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","1","1","C"
"03/08/2023","926-String Orchestra","1","Amarillo High School","188901001","Amarillo","Breanna L Parker","Joely Breshears","","AAAAA","Non-Varsity","","179745","The Hunt (String Quartet No. 17)","Mozart/Clinesmith","Little Turtle Dove (19514) ","Traditional/Gruselle","Legends of Glory (20640) ","Griesinger","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","1","1","C"
"03/08/2023","926-String Orchestra","1","Amarillo High School","188901001","Amarillo","Breanna L Parker","Joely Breshears","","AAAAA","Varsity","","179744","St. Paul Suite (6614) (play mvt 1 or 4)","Holst","Capriol Suite (6571) (play either mvt 2 or mvt 5  plus one additional mvt)","Warlock","Perseus (17708) ","Newbold","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","1","1","B"
"03/09/2023","926-String Orchestra","1","Austin Middle School","188901041","Amarillo","Jillian Read","","","CC","Non-Varsity","","183459","March Heroic (10041) ","Del Borgo","Incantations for String Orchestra (17622) ","Hinds","The Red Lion (19532) ","Woolstenhulme","Sally Pool","Catherine Olivier","Cristina Newton","1","2","2","2","Josh Allen","Dianne Campbell","Michael Newton","1","2","2","2",""
"03/09/2023","926-String Orchestra","1","Austin Middle School","188901041","Amarillo","Jillian Read","","","CC","Varsity","","183458","Procession of the Knights (19536) ","Brubaker","Aspen Glow (19337) ","Day","Gothic Cathedral (19651)","Compello","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","2","1","1","C"
"03/09/2023","926-String Orchestra","1","Bonham Middle School","188-901-048","Amarillo","Danielle Kupresanin","","","CC","Varsity","","181344","Rondeau from Masterpiece Theater","Mouret/Leidig","Dabbling in the Dew (15926)","Anon. or Trad./Atwell","A Modal Festival (6291)","Marsh/","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","1","1","C"
"03/09/2023","926-String Orchestra","1","Bonham Middle School","188-901-048","Amarillo","Danielle Kupresanin","","","CC","Non-Varsity","A","181342","Dragonhunter (15903)","Meyer/","Fandango","McCashin","Clog Dance (10040)","Del Borgo/","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","1","1","D"
"03/09/2023","926-String Orchestra","1","Bowie Middle School","188901042","Amarillo","Fabian Saldana","Christian Anderson ","","CCC","Non-Varsity","","183247","Scottish Bobber (15900) ","Clark","Fancy Fiddles","Williams","Camelot Quest (percussion REQUIRED)","LaBrie","Sally Pool","Catherine Olivier","Cristina Newton","1","2","2","2","Josh Allen","Dianne Campbell","Michael Newton","1","2","1","1","2"
"03/09/2023","926-String Orchestra","1","Bowie Middle School","188901042 ","Amarillo","Fabian Saldana","Christian Anderson ","","CCC","Sub Non-Varsity","B","183243","Koneko (19644) ","Yamada or Clark","Dragon`s Flight ","Ramsey-White","St. Lawrence Overture (10042) ","Del Borgo","Sally Pool","Catherine Olivier","Cristina Newton","2","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","2","1","D"
"03/09/2023","926-String Orchestra","1","Bowie Middle School","188901042","Amarillo","Fabian Saldana","Christian Anderson ","","CCC","Varsity","","183006","Highridge Overture (6248) ","Del Borgo","Japanese Lullaby ","Yamada","Path Of Mirkwood ","Frizzi","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","1","1","C"
"03/09/2023","926-String Orchestra","1","Bowie Middle School","188901042","Amarillo","Fabian Saldana","Christian Anderson ","","CCC","Sub Non-Varsity","A","183003","Regal Overture (15902) ","Hopkins","Never Let Up ","Balmages","Entry of the Tumblers ","Del Borgo","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","2","2","1","2","2"
"03/08/2023","926-String Orchestra","1","Caprock High School","188901002","Amarillo","Christian Anderson","Danica Ahedo","","AAAAA","Sub Non-Varsity","A","183646","Blaze ","Donahoe","Echelon (21750) ","Griesinger","M to the Third Power (6443) ","Nunez","Sally Pool","Catherine Olivier","Cristina Newton","1","1","2","1","Josh Allen","Dianne Campbell","Michael Newton","2","2","1","2","2"
"03/08/2023","926-String Orchestra","1","Caprock High School","188901002","Amarillo","Danica Ahedo","Christian Anderson","","AAAAA","Sub Non-Varsity","B","183232","Little Symphony (6307) ","Nunez","Allegro Gustoso","Woolstenhulme","Echoes of Bartok (17672) ","Bartok/Cummings","Sally Pool","Catherine Olivier","Cristina Newton","1","2","2","2","Josh Allen","Dianne Campbell","Michael Newton","1","2","1","1","2"
"03/08/2023","926-String Orchestra","1","Caprock High School","188901002","Amarillo","Danica Ahedo","Christian Anderson","","AAAAA","Non-Varsity","","183231","Follow the Drinking Gourd (15960) ","Anon. or Trad./Gruselle","Sunayama (17686) ","Anon. or Trad./Yamada or Clark","Variations on a Well-Known Sea Chanty (6473) ","Stephan","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","1","1","C"
"03/08/2023","926-String Orchestra","1","Caprock High School","188901002","Amarillo","Danica Ahedo","","","AAAAA","Varsity","","183229","Themes (from the Moldau) (6469) ","Smetana/Frost","Fantasia on a 17th Century Tune (6558) ","Stephan","Reels and Reverie (20619) ","Silva","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","1","1","B"
"03/09/2023","926-String Orchestra","1","Crockett MS","188901043","Amarillo","Kellie Bartley","","","CC","Varsity","","183089","Dragon's Flight","Ramsey-White","Scarborough Fair","Balmages","El Toro","Brubaker","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","2","1","1","1","C"
"03/09/2023","926-String Orchestra","1","de Zavala Middle School","188901049","Amarillo","Benito Flores","","","C","Non-Varsity","","183451","St. Lawrence Overture (10042) ","Del Borgo","Sailors Song (10054) ","Williams","Bow-Regards Parade (10033) ","Caponegro","Sally Pool","Catherine Olivier","Cristina Newton","2","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","2","2","2","2","2"
"03/09/2023","926-String Orchestra","1","de Zavala Middle School","188901049","Amarillo","Benito Flores","","","C","Varsity","","183446","Westminster Prelude and Fugue (6198) ","Shaffer","Fiddling A-Round (6150) ","Caponegro","Japanese Lulluby ","Clark","Sally Pool","Catherine Olivier","Cristina Newton","1","1","2","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","1","1","C"
"03/09/2023","926-String Orchestra","1","Fannin Middle School","188-901","Amarillo","Bryan Chavez","","","CC","Varsity","","183626","Honor and Glory","Newbold	","The Gypsy Rover","Del Borgo","Regal Overture	","Hopkins	","Sally Pool","Catherine Olivier","Cristina Newton","2","2","2","2","Josh Allen","Dianne Campbell","Michael Newton","3","3","2","3",""
"03/09/2023","926-String Orchestra","1","Horace Mann Middle School","188901046","Amarillo","Kathryn Pena","Lindsay Stepien  Joe Babcock","","CC","Varsity","","183467","The Mask (20622)","Hinds","Folk Festival (19501)","OReilly","Fiddles on Fire (15910)","Williams","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","2","1","1","C"
"03/09/2023","926-String Orchestra","1","Horace Mann Middle School","188901046","Amarillo","Kathryn Pena","Lindsay Stepien  Joe Babcock","","CC","Non-Varsity","","183466","Medieval Kings","Newbold","Roundelay in D (6206) ","Stephan","Wexford Circle (20633) ","Del Borgo","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","1","1","D"
"03/08/2023","926-String Orchestra","1","Palo Duro High School","188901004","Amarillo","Lindsay Stepien","Joe Babcock","","AAAAA","Varsity","","182818","Reverie (6240) ","Corigliano","Suite Concertante for String Orchestra (17716)","Reed","North Star to Freedom (18318) ","Newbold","Sally Pool","Catherine Olivier","Cristina Newton","2","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","2","1","A"
"03/08/2023","926-String Orchestra","1","Palo Duro HS","188901004	","Amarillo","Joe Babcock","Lindsay Stepian  Katherine Pena  Matias Arambula","","AAAAA","Non-Varsity","","183521","Tryptich For Strings","Elliot Del Borgo","The Gallagher Gal - For the Star of County Down","Deborah Monday","Two Modal Sketches (10069)","OReilly","Sally Pool","Catherine Olivier","Cristina Newton","2","2","1","2","Josh Allen","Dianne Campbell","Michael Newton","1","1","2","1","2"
"03/09/2023","926-String Orchestra","1","Sam Houston Middle School","188901045","Amarillo","Bryan Gomez","","","CC","Varsity","","184257","Quintus (15938) ","Clark","The Mask (20622) ","Hinds","Our Heroes (20643) ","Day","Sally Pool","Catherine Olivier","Cristina Newton","2","2","1","2","Josh Allen","Dianne Campbell","Michael Newton","2","3","2","2",""
"03/08/2023","926-String Orchestra","1","Tascosa High School","188901005","Amarillo","Harold Scarbrough","","","AAAAA","Non-Varsity","","182350","Spring (15964) ","Vivaldi/Monday","Ruby Mountain Serenade","Atteberry","Labyrinth (19385) ","Zuehlsdorff","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","1","1","C"
"03/08/2023","926-String Orchestra","1","Tascosa High School","188901005","Amarillo","Harold Scarbrough","","","AAAAA","Varsity","","181811","Waltz No. 2 (20889) ","Shostakovich/Lavender","In the Company of Angels","Hofeldt","Vanishing Pointe (18458) ","Meyer","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","1","1","A"
"03/08/2023","926-String Orchestra","1","Tascosa High School","188901005","Amarillo","Harold Scarbrough","","","AAAAA","Sub Non-Varsity","","181807","Toccata (19367) ","Frescobaldi/Beeman","Cross Country (6156) ","Chase","Dorian Variations (6348) ","Williams","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","1","1","1","1","C"
"03/09/2023","926-String Orchestra","1","Travis MS","188901047","Amarillo","Matt Arambula","","","CCC","Non-Varsity","","183612","Chorale and Fanfare","F. Feese","Fall River Road","Denney","Sailors Song (10054)","Williams","Sally Pool","Catherine Olivier","Cristina Newton","2","1","2","2","Josh Allen","Dianne Campbell","Michael Newton","2","3","3","3",""
"03/09/2023","926-String Orchestra","1","Travis MS","188901047","Amarillo","Matt Arambula","Lindsay Stepien  Joe Babcock","","CCC","Varsity","","183606","Dragon Fire","S. Day","Dragon's Flight","Ramsey-White","Ablaze","C. Bernotas","Sally Pool","Catherine Olivier","Cristina Newton","1","1","1","1","Josh Allen","Dianne Campbell","Michael Newton","2","1","1","1","C"
