School,Director(s),Grade,,Judge 1,Judge 2,Judge 3,SR,Overall,District,Level
Longleaf School of the Arts,Alexander Alberti,III,,II,II,II,I,Excellent,Central,HS
Ravenscroft School,Bill Pendergrass/Kelly Nivison,V,,I,I,I,I,Superior,Central,HS
Cedar Ridge High School,Josh Cvijanovic,IV,,I,I,II,I,Superior,Central,HS
Orange High School,Andy Carter,IV/V,,I,I,I,I,Superior,Central,HS
South Granville High School,Bradley Maston,IV,,II,II,I,I,Superior,Central,HS
Durham School of the Arts,Ken Davis,VI,,I,I,I,I,Superior,Central,HS
Cedar Ridge High School,Josh Cvijanovic,VI,,I,II,I,I,Superior,Central,HS
Orange High School,Andy Carter,VI,,II,I,II,I,Superior,Central,HS
Hillside High School ,Cybil Haskins,III,,I,II,I,II,Superior,Central,HS
Falls Lake Academy HS,Jaron Cox,III,,III,III,III,II,Average,Central,HS
Riverside High School,Steven Mann,III,,CO,CO,CO,CO,Comments,Central,HS
Jordan-Matthews High School,JC Harper,III/IV,,III,III,IV,II,Average,Central,HS
Holly Springs High School,Michael E. Biasi,IV,,I,I,I,I,Superior,Central,HS
Riverside High School,Steven Mann,IV,,II,II,II,I,Excellent,Central,HS
C.E. Jordan High School,Chris Hathcock,VI,,I,I,I,I,Superior,Central,HS
Holly Springs High School,Michael E. Biasi,VI,,I,I,I,I,Superior,Central,HS
Leesville Road High School,Alyssa M. Montgomery,VI,,I,I,I,I,Superior,Central,HS
Person High School,Kristen Daniel,II,,I,I,I,I,Superior,Central,HS
Eastern Alamance High School,Ben Crotts,III,,I,I,II,I,Superior,Central,HS
Northwood High School,Jason Freeman,III/IV,,II,II,II,I,Excellent,Central,HS
Eastern Randolph High School,Emily Scotton,IV,,I,I,I,I,Superior,Central,HS
Person High School,Kristen Daniel,IV,,DQ,DQ,DQ,DQ,Disqualified,Central,HS
C.E. Jordan High School,Chris Hathcock,IV,,II,II,II,I,Excellent,Central,HS
Eastern Alamance High School,Ben Crotts,V/VI,,I,I,I,I,Superior,Central,HS
Northwood High School,Jason Freeman,V/VI,,III,III,III,I,Average,Central,HS
J.F. Webb High School,Brian Holtshouser,II/III,,CO,CO,CO,CO,Comments,Central,HS
McMichael High School,Caleb Foote,III/IV,,CO,CO,CO,CO,Comments,Central,HS
Reidsville High School,Travis Pike,III,,IV,IV,IV,II,Below Average,Central,HS
Northern Guilford High School,Kiyoshi Carter,IV/V,,II,I,II,I,Superior,Central,HS
Page High School,Eddie Deaton,V,,I,I,I,I,Superior,Central,HS
Southeast Guilford High School Wind Ensemble,Jeremy Ray,V,,I,I,I,I,Superior,Central,HS
Ragsdale High School,Andrew Oldham,V,,II,II,I,I,Superior,Central,HS
Northwest Guilford High School Wind Ensemble,Brian McMath,VI,,I,I,I,I,Superior,Central,HS
Southwest Guilford High School,Joseph Cox,IV,,II,II,II,I,Excellent,Central,HS
Asheboro High School Wind Symphony,Phil Homiller,IV,,I,I,I,I,Superior,Central,HS
Rockingham County High School,Donald Dohm,IV,,I,I,II,I,Superior,Central,HS
Northwest Guilford High School Symphonic Band,Brian McMath/Kevin Greene,V,,I,I,I,I,Superior,Central,HS
Asheboro High School Symphonic Wind Ensemble,Phil Homiller,V,,I,I,I,I,Superior,Central,HS
Southern Middle School,Valerie Smith,II,,III,II,II,I,Excellent,Central,MS
A. L. Stanback Middle School,J. Michael Capps,II,,II,II,II,I,Excellent,Central,MS
Ravenscroft School,Bill Pendergrass & Kelly Nivison,I,,II,I,I,n/a,Superior,Central,MS
Western Middle School,Patrick Bennington,III,,II,III,III,I,Excellent,Central,MS
A.L. Stanback Middle School,J. Michael Capps,II,,II,II,I,I,Superior,Central,MS
Ravenscroft School,Bill Pendergrass/Kelly Nivison,III,,II,II,II,I,Excellent,Central,MS
Guy B. Phillips Middle School,Ashley Sample,III,,I,II,I,I,Superior,Central,MS
Gravelly Hill Middle School,Chris DiMassimo,II/III,,I,I,I,I,Superior,Central,MS
The Expedition School,Cindy Glass,II,,III,III,III,II,Average,Central,MS
Gravelly Hill Middle School,Chris DiMassimo,I/II,,I,I,I,I,Superior,Central,MS
Culbreth Middle School,Matt Nedimyer,II,,III,III,III,II,Average,Central,MS
Durham School of the Arts,Anthony Amos and Susan Townsend,II/III,,I,I,I,I,Superior,Central,MS
Lucas Middle School,E. Ryan Childress,II/III,,DQ,DQ,DQ,DQ,Disqualified,Central,MS
CW Stanford Middle School,Mary E. May,II/III,,I,II,II,I,Superior,Central,MS
Culbreth Middle School,Matt Nedimyer,IV,,III,III,II,II,Excellent,Central,MS
CW Stanford Middle School,Mary E. May,IV,,II,II,I,I,Superior,Central,MS
