School,Director(s),Grade,Judge 1,Judge 2,Judge 3,SR,Overall,District,Level
Union Pines HS Wind Ensemble,Rob Hill,VI,I,I,I,I,Superior,Southeastern,HS
West Johnston HS Symphonic Band,Lucas Meade/Jess Leighton,IV,III,III,III,II,Average,Southeastern,HS
West Johnston HS Wind Ensemble,Lucas Meade/Jess Leighton,VI,III,II,II,I,Excellent,Southeastern,HS
Western Harnett HS Band,Curtis Collins,IV,I,I,I,I,Superior,Southeastern,HS
Westover HS Concert Band,Jeremy Ross,III,II,III,III,I,Excellent,Southeastern,HS
AC Reynolds Concert Band,Sean Smith,IV,I,I,I,I,Superior,Western,HS
AC Reynolds Symphonic Band,Sean Smith,VI,I,I,I,I,Superior,Western,HS
Asheville Christian Academy,Alexander Panagiotacos,II,II,II,II,I,Excellent,Western,MS
Asheville High School Symphonic Band,JaQuan Wiley,IV,I,I,I,I,Superior,Western,HS
Asheville High School Wind Symphony,Rodney Workman,VI,I,I,I,I,Superior,Western,HS
Asheville Middle School Concert Band,Ana Bulluck/Tina Robinett,II,I,I,I,I,Superior,Western,MS
Asheville Middle School Symphonic Band,Ana Bulluck/Tina Robinett,III,I,I,I,I,Superior,Western,MS
Cane Creek Middle School Advanced,Clif Dodson,II,I,I,I,I,Superior,Western,MS
Cane Creek Middle School Beginning,Clif Dodson,I,I,II,I,n/a,Superior,Western,MS
Cane Creek Middle School Honors Band,Clif Dodson,III,I,I,I,I,Superior,Western,MS
Chase High School Band,Matthew Keenan,II,II,II,II,II,Excellent,Western,MS
Chase Middle School Band,Michael Henderson,I,IV,IV,IV,n/a,Below Average,Western,MS
Clyde A Erwin High School Symphonic,David Sulzman,IV,II,III,III,I,Excellent,Western,HS
East Henderson Concert,Colton Stewart,III,III,III,III,I,Average,Western,HS
Enka 7th Grade Band,Kevin Kimbrough,I,II,II,II,n/a,Excellent,Western,MS
Enka 8th Grade Band,Kevin Kimbrough,II,II,II,II,I,Excellent,Western,MS
Enka High School Symphonic Band,Kevin Young,III/IV,II,I,II,I,Superior,Western,HS
Enka High School Wind Ensemble,Kevin Young,VI,I,I,I,I,Superior,Western,HS
Erwin Middle Beginning Band,Christopher La Vignette/Linda Moore,I,II,II,II,n/a,Excellent,Western,MS
Hendersonville High School Concert Band,James Phillips,III,II,II,II,II,Excellent,Western,HS
Hendersonville High School Symphonic Band,James Phillips,IV,II,III,II,I,Excellent,Western,HS
Hendersonville Middle School 8th Grade Band,Daniel Dickens,II,I,I,II,I,Superior,Western,MS
Macon Middle School Honors Band,Thomas Graham,II,IV,IV,IV,II,Below Average,Western,MS
Madison High School Concert Band,Christopher Chandler,III,II,II,II,II,Excellent,Western,HS
Madison Middle School 7th Grade Band,Brett Anderson,I,II,III,III,n/a,Average,Western,MS
Montford North Star Band,Trey Simpson,II,II,II,II,I,Excellent,Western,MS
North Buncombe High School Concert Band,Nathan Brown,IV,I,I,II,I,Superior,Western,HS
North Henderson Concert Band,Steve Sigmon,IV,I,I,I,I,Superior,Western,HS
North Henderson Wind Ensemble,Steve Sigmon,VI,C/O,C/O,C/O,C/O,Comments,Western,HS
Owen High School Symphonic Band,Tyson Hamrick,III,C/O,C/O,C/O,C/O,Comments,Western,HS
Pisgah High School Symphonic Band,Matthew Sanders,III,III,III,III,II,Average,Western,HS
Rosman Symphonic Band,Katerina Canter,III,II,II,II,I,Excellent,Western,HS
Smoky Mountain High School,Alex Larsen,IV,II,II,II,I,Excellent,Western,HS
Swain County Middle School Band,Timothy Sale,I,II,I,II,n/a,Excellent,Western,MS
Swain High School Concert,Karen Williams,III,I,I,I,I,Superior,Western,HS
TC Roberson Concert Band,Jim Kirkpatrick,III,I,I,I,I,Superior,Western,HS
TC Roberson Symphonic Band,Jim Kirkpatrick,VI,I,I,I,I,Superior,Western,HS
Tuscola Concert Band,Tim Wise,III,I,II,II,II,Excellent,Western,HS
Tuscola Symphonic Band,Tim Wise/Dillion Ingle,V,I,I,I,I,Superior,Western,HS
Waynesville Middle School 7th Grade Band,Adam Stewart/Samuel Bogan,II,II,II,II,I,Excellent,Western,MS
Waynesville Middle School 8th Grade Band,Adam Stewart/Samuel Bogan,III,II,II,II,I,Excellent,Western,MS
West Henderson High School Concert,Alan Klaes,III,I,I,I,I,Superior,Western,HS
West Henderson High School Wind Ensemble,Alan Klaes,VI,I,I,I,I,Superior,Western,HS
