School,Director(s),Grade,Judge 1,Judge 2,Judge 3,SR,Overall,District,Level
Braxton Craven School 6th Grade Beginning Band,Chris Ferguson,I,I,I,I,N/A,Superior,Central,MS
Chatham Middle School 7th/8th Grade Combined Band,Bryan DeCristofaro,I,II,II,III,N/A,Excellent,Central,MS
Friendship Christian Middle School Band,Barbara Walston,I,II,II,II,N/A,Excellent,Central,MS
Greensboro Academy Wind Ensemble,Christine McIvor,I,I,II,I,N/A,Superior,Central,MS
Ligon GT Magnet Middle School Beginning Concert Band,Renee Todd,I,I,I,I,N/A,Superior,Central,MS
Rolesville Middle School 7th Grade Band,Matthew DiDonna,I,II,II,II,N/A,Excellent,Central,MS
Silk Hope 7th/8th Grade Symphonic Band,Rebecca Clemens,I,II,II,III,N/A,Excellent,Central,MS
Southwestern Randolph Middle School 7th Grade Wind,Kenny Butler,I,III,III,III,N/A,Average,Central,MS
Ensemble,,,,,,,,,
Academy at Lincoln 7th Grade Band,Ben Keith,II,II,I,II,II,Excellent,Central,MS
Allen Jay Prep Academy Concert Band,Josh Morgan,II,CO,CO,CO,CO,Comments Only,Central,MS
Apex Middle School 7th Grade Concert Band,Helen Bishop,II,II,II,II,I,Excellent,Central,MS
Daniels Magnet Middle School 7th Grade Band,Audrey Yosai,II,III,III,II,II,Excellent,Central,MS
Daniels Magnet Middle School 8th Grade Band,Audrey Yosai,II,II,II,II,I,Excellent,Central,MS
East Millbrook Middle School 7th/8th Grade Symphonic Band,Tanya Murphy,II,II,II,II,II,Excellent,Central,MS
East Wake Middle School 7th/8th Grade Band,Casey Duryea,II,II,II,II,I,Excellent,Central,MS
F.J. Carnage Middle School Concert Band,Matthew Pellas,II,I,I,II,I,Superior,Central,MS
Franklin Academy Middle School Concert Band,Scott Bailey,II,I,I,I,I,Superior,Central,MS
Heritage Middle School 7th Grade Band,Jessica McCaskill,II,II,III,III,I,Excellent,Central,MS
Ligon GT Magnet Middle School Symphonic Band,Renee Todd,II,I,I,I,I,Superior,Central,MS
Mills Park Middle School 7th Grade Band,Tony Powell,II,I,I,I,I,Superior,Central,MS
North Asheboro Middle School 8th Grade Band,Scott Benhart,II,II,II,III,I,Excellent,Central,MS
